zpid,price,price_sqft,bedrooms,bathrooms,livingArea,yearBuilt,rentZestimate,rentZestimate_sqft,MeanPricesnearbyHomes,MeanbathroomsnerabyHomes,MeanbedroomsnerabyHomes,MeanlivingAreanerabyHomes,SCHOOLSMeandistance,pageViewCount,favoriteCount,daysOnZillow,dia_semana,ADULTCOM,ANNUALDUES_FEE,WAITINGPERIOD,longitude,latitude,predictions,predictions_LASSO,predictions_ML,D_Safe_Conv_Location,D_Recently_Renovated,D_Ready_To_Move,D_Requires_Repairs,D_Special_Features,D_Not_Free_Litigation,D_More_Than_One_Unit,D_Investors,D_Airbnb,Diff_Prices,Diff_p,VPN,amount,profit_all,ht,Labels,model,task_main_id
45803197,4785000,1337.7131674587642,4.0,5.0,3577,1999,6525,1.8241543192619514,1442977.625,2.7142857142857144,3.4285714285714284,2334.4285714285716,0.7666666666666666,2090,57,284,0,0,0,0,-81.76215,24.561293,4666064.254928373,4573342.437685084,4344100.238297406,0,0,0,0,0,1,1,1,0,211657.5623149164,4.423355534272025,50038.15498294432,-146613.46297676902,-3.0640222147705125,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
455764611,4375000,1066.2929563733853,5.0,6.0,4103,2025,0,0.0,1288437.5,3.2,3.0,2330.6,0.4,665,15,197,3,0,0,0,-81.7466,24.591658,3629780.0782351126,4157647.7803122126,3945844.274727208,1,1,1,0,1,0,0,0,0,217352.21968778732,4.968050735720854,0.0,-189096.431128375,-4.322204140077143,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
449847474,3995000,2976.9001490312967,2.0,2.0,1342,1983,4548,3.3889716840536512,4383575.0,2.375,3.0,2170.25,21.2,266,2,808,1,0,0,0,-80.27077,25.326044,3598410.434787075,3775048.86852788,3531148.4740730836,0,0,0,0,0,0,0,0,0,219951.1314721201,5.505660362255822,34877.169174318886,-165199.60750000528,-4.135159136420659,2,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
306095001,3350000,971.0144927536232,5.0,3.0,3450,2025,7955,2.3057971014492753,1283080.875,2.25,3.1666666666666665,2049.0,0.4,669,22,168,4,0,0,0,-80.53416,24.995808,2759721.6176304407,3122659.929494252,2465813.379770865,0,0,0,0,0,0,0,0,0,227340.07050574804,6.786270761365612,61004.37132403403,-152032.58284697527,-4.53828605513359,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
455764740,4375000,1066.2929563733853,5.0,6.0,4103,2025,0,0.0,1288437.5,3.2,3.0,2330.6,0.4,722,25,197,3,0,0,0,-81.7466,24.591658,3852382.109061818,4142958.775986717,3918419.9972101296,1,1,1,0,1,0,0,0,0,232041.2240132829,5.3037994060178955,0.0,-201875.86489155615,-4.61430548323557,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
84651633,3400000,995.8992384299942,4.0,3.0,3414,2007,0,0.0,1722240.5,3.2,3.8,2515.8,3.25,670,17,11,0,0,0,0,-81.04418,24.73556,2905930.403811331,3163957.359857634,3279698.8771012276,1,0,0,0,0,0,0,0,1,236042.64014236585,6.942430592422525,0.0,-205357.09692385828,-6.039914615407596,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45810522,2299999,1005.2443181818181,3.0,3.0,2288,2025,7576,3.3111888111888113,983000.0,1.8,2.75,1733.5,8.65,595,30,139,5,0,0,0,-81.558876,24.642157,2680004.263650333,2054911.5377851326,2464836.087511754,1,0,0,1,1,0,1,1,0,245087.46221486732,10.655981251073039,58097.94055950745,-169652.636707304,-7.376204803015305,1,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45807603,2699000,1853.7087912087911,3.0,2.0,1456,1995,0,0.0,958844.0,2.0,2.6666666666666665,1131.5,19.55,2184,105,20,5,0,0,0,-81.35562,24.687082,2347988.417969533,2442713.5518989074,2006747.502595276,1,1,1,1,0,1,1,1,1,256286.4481010926,9.495607562100503,0.0,-222969.20984795055,-8.261178579027439,1,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45797576,2850000,1990.2234636871508,3.0,3.0,1432,1930,5395,3.767458100558659,2218562.5,2.8125,3.0,1568.0,1.6333333333333335,655,20,80,1,0,0,0,-81.7953,24.560097,2389526.219355909,2583236.568839354,2616122.428182032,0,0,0,0,0,0,1,1,0,266763.431160646,9.360120391601614,41372.543468656644,-201054.77750826956,-7.054553596781387,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45828640,4850000,2590.811965811966,4.0,2.0,1872,1962,4920,2.628205128205128,3467148.25,2.25,3.0,1907.125,7.3,1749,45,112,4,0,0,0,-80.49112,25.050367,3681459.9149172427,4577771.087910364,3826242.220373662,1,1,1,1,1,0,1,0,1,272228.9120896356,5.612967259580116,37729.919159553414,-208541.71414831793,-4.2998291576972765,1,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
